@ NAME             %07s "MYTABLE"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "18/07/19"
@ TIME             %08s "11.20.42"
*                DP0                 QX                 QY 
$                %le                %le                %le 
              -0.01        0.240558698       0.2232417114
             -0.009       0.2442328161       0.2258204179
             -0.008       0.2475840882       0.2282376972
             -0.007       0.2506154718       0.2304951481
             -0.006       0.2533297971       0.2325942946
             -0.005       0.2557297698       0.2345365876
             -0.004        0.257817975       0.2363234072
             -0.003       0.2595968796       0.2379560647
             -0.002       0.2610688356       0.2394358044
             -0.001       0.2622360828        0.240763805
                  0       0.2631007511       0.2419411813
              0.001       0.2636648634       0.2429689861
              0.002       0.2639303371       0.2438482109
              0.003       0.2638989869       0.2445797875
              0.004       0.2635725262       0.2451645894
              0.005       0.2629525694       0.2456034326
              0.006       0.2620406332       0.2458970766
              0.007       0.2608381384       0.2460462256
              0.008       0.2593464114       0.2460515292
              0.009        0.257566685       0.2459135832
               0.01       0.2555001005       0.2456329303
