@ NAME             %07s "MYTABLE"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "18/07/19"
@ TIME             %08s "11.23.10"
*                DP0                 QX                 QY 
$                %le                %le                %le 
              -0.01       0.1292899801       0.2566402205
             -0.009       0.1356013982       0.2541459482
             -0.008       0.1411034036       0.2519574114
             -0.007       0.1458073683       0.2500734412
             -0.006       0.1497235315       0.2484931267
             -0.005       0.1528610469       0.2472158086
             -0.004       0.1552280229       0.2462410735
             -0.003       0.1568315574       0.2455687501
             -0.002       0.1576777685       0.2451989058
             -0.001       0.1577718185       0.2451318445
                  0       0.1571179347       0.2453681056
              0.001       0.1557194248       0.2459084637
              0.002       0.1535786886       0.2467539296
              0.003       0.1506972253       0.2479057515
              0.004       0.1470756362       0.2493654183
              0.005        0.142713624        0.251134663
              0.006       0.1376099876       0.2532154674
              0.007       0.1317626126       0.2556100679
              0.008       0.1251684574       0.2583209625
              0.009       0.1178235356       0.2613509182
               0.01       0.1097228925       0.2647029812
