@ NAME             %06s "NONLIN"
@ TYPE             %06s "NONLIN"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "03/09/19"
@ TIME             %08s "16.32.42"
* NAME               NICKNAME           BASEVARIABLE                    VALUE      ORDER    ORDER_X   ORDER_PX    ORDER_Y   ORDER_PY   ORDER_PT    ORDER_T 
$ %s                 %s                 %s                                %le         %d         %d         %d         %d         %d         %d         %d 
 "Q1"                "Q1"                "Q1"                      0.2454672837          0          0          0          0          0          0          0
 "Q1_JX"             "ANHX"              "Q1"                       9.917721342          2          1          1          0          0          0          0
 "Q1_JY"             "ANHC"              "Q1"                       40.47573826          2          0          0          1          1          0          0
 "Q1_P"              "DQ1"               "Q1"                       -5.83777817          1          0          0          0          0          1          0
 "Q1_JX_P"           "Q1_JX_P"           "Q1"                      -57.68332063          3          1          1          0          0          1          0
 "Q1_JY_P"           "Q1_JY_P"           "Q1"                       4.564365372          3          0          0          1          1          1          0
 "Q1_P2"             "Q1_P2"             "Q1"                       29.17206373          2          0          0          0          0          2          0
 "Q1_P3"             "Q1_P3"             "Q1"                      -61.74069617          3          0          0          0          0          3          0
 "Q2"                "Q2"                "Q2"                      0.2836600762          0          0          0          0          0          0          0
 "Q2_JX"             "ANHC"              "Q2"                       40.47573826          2          1          1          0          0          0          0
 "Q2_JY"             "ANHY"              "Q2"                       -52.2175023          2          0          0          1          1          0          0
 "Q2_P"              "DQ2"               "Q2"                       -7.82140796          1          0          0          0          0          1          0
 "Q2_JX_P"           "Q2_JX_P"           "Q2"                       4.564365372          3          1          1          0          0          1          0
 "Q2_JY_P"           "Q2_JY_P"           "Q2"                       50.36288434          3          0          0          1          1          1          0
 "Q2_P2"             "Q2_P2"             "Q2"                       51.19042287          2          0          0          0          0          2          0
 "Q2_P3"             "Q2_P3"             "Q2"                       61.02667864          3          0          0          0          0          3          0
 "DISP1"             "DX"                "X"                        3.327732864          0          0          0          0          0          0          0
 "DISP2"             "DPX"               "PX"                   3.007186514e-14          0          0          0          0          0          0          0
 "DISP3"             "DY"                "Y"                                  0          1          0          0          0          0          1          0
 "DISP4"             "DPY"               "PY"                                 0          1          0          0          0          0          1          0
 "EIGN11"            "EIGN11"            "A_T"                     -4.520470604          1          1          0          0          0          0          0
 "EIGN12"            "EIGN12"            "A_T"                                0          1          0          1          0          0          0          0
 "EIGN13"            "EIGN13"            "A_T"                                0          1          0          0          1          0          0          0
 "EIGN14"            "EIGN14"            "A_T"                                0          1          0          0          0          1          0          0
 "EIGN15"            "EIGN15"            "A_T"                      3.327732864          1          0          0          0          0          1          0
 "EIGN16"            "EIGN16"            "A_T"                                0          1          0          0          0          0          0          1
 "EIGN21"            "EIGN21"            "A_T"                    0.01632674246          1          1          0          0          0          0          0
 "EIGN22"            "EIGN22"            "A_T"                    -0.2212159059          1          0          1          0          0          0          0
 "EIGN23"            "EIGN23"            "A_T"                                0          1          0          0          1          0          0          0
 "EIGN24"            "EIGN24"            "A_T"                                0          1          0          0          0          1          0          0
 "EIGN25"            "EIGN25"            "A_T"                  4.149029642e-14          1          0          0          0          0          1          0
 "EIGN26"            "EIGN26"            "A_T"                                0          1          0          0          0          0          0          1
 "EIGN31"            "EIGN31"            "A_T"                                0          1          1          0          0          0          0          0
 "EIGN32"            "EIGN32"            "A_T"                                0          1          0          1          0          0          0          0
 "EIGN33"            "EIGN33"            "A_T"                      3.483850068          1          0          0          1          0          0          0
 "EIGN34"            "EIGN34"            "A_T"                                0          1          0          0          0          1          0          0
 "EIGN35"            "EIGN35"            "A_T"                                0          1          0          0          0          0          1          0
 "EIGN36"            "EIGN36"            "A_T"                                0          1          0          0          0          0          0          1
 "EIGN41"            "EIGN41"            "A_T"                                0          1          1          0          0          0          0          0
 "EIGN42"            "EIGN42"            "A_T"                                0          1          0          1          0          0          0          0
 "EIGN43"            "EIGN43"            "A_T"                   -0.03603325767          1          0          0          1          0          0          0
 "EIGN44"            "EIGN44"            "A_T"                     0.2870387589          1          0          0          0          1          0          0
 "EIGN45"            "EIGN45"            "A_T"                                0          1          0          0          0          0          1          0
 "EIGN46"            "EIGN46"            "A_T"                                0          1          0          0          0          0          0          1
