@ NAME             %07s "MYTABLE"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "18/07/19"
@ TIME             %08s "15.05.23"
*                DP0                 QX                 QY 
$                %le                %le                %le 
              -0.01       0.3013789937       0.3594716608
             -0.009         0.29556407       0.3515189311
             -0.008       0.2897995656       0.3436478386
             -0.007        0.284085219       0.3358587396
             -0.006       0.2784207688       0.3281519871
             -0.005       0.2728059537       0.3205279307
             -0.004       0.2672405129       0.3129869165
             -0.003       0.2617241856       0.3055292868
             -0.002       0.2562567115       0.2981553807
             -0.001       0.2508378307       0.2908655334
                  0       0.2454672837       0.2836600762
              0.001       0.2401448115       0.2765393368
              0.002       0.2348701556       0.2695036391
              0.003       0.2296430583       0.2625533027
              0.004       0.2244632623       0.2556886436
              0.005       0.2193305112       0.2489099735
              0.006       0.2142445493       0.2422176001
              0.007       0.2092051216       0.2356118269
              0.008        0.204211974       0.2290929531
              0.009       0.1992648534       0.2226612738
               0.01       0.1943635076       0.2163170794
