@ NAME             %07s "MYTABLE"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "22/08/19"
@ TIME             %08s "13.43.24"
*                DP0                 QX                 QY 
$                %le                %le                %le 
             -0.003       0.2620569548       0.3019127641
             -0.002       0.2571019006       0.2940699163
             -0.001       0.2519970152       0.2864747679
                  0       0.2467415641       0.2791284768
              0.001       0.2413347678       0.2720322269
              0.002        0.235775801       0.2651872286
              0.003       0.2300637915        0.258594719
              0.004       0.2241978191       0.2522559627
              0.005       0.2181769148        0.246172252
              0.006       0.2120000594        0.240344908
