@ NAME             %07s "MYTABLE"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "21/08/19"
@ TIME             %08s "09.25.36"
*                DP0                 QX                 QY 
$                %le                %le                %le 
              -0.01       0.2099364918       0.3071968941
             -0.009       0.2132303453       0.3086632145
             -0.008       0.2161851962       0.3100821712
             -0.007       0.2188042466       0.3114545945
             -0.006       0.2210905275       0.3127812906
             -0.005       0.2230469043       0.3140630432
             -0.004       0.2246760809       0.3153006141
             -0.003       0.2259806034       0.3164947441
             -0.002       0.2269628646       0.3176461539
             -0.001       0.2276251071       0.3187555448
                  0       0.2279694263       0.3198235997
              0.001       0.2279977738       0.3208509836
              0.002       0.2277119598       0.3218383443
              0.003       0.2271136553       0.3227863134
              0.004       0.2262043947       0.3236955063
              0.005       0.2249855776       0.3245665237
              0.006       0.2234584703       0.3253999513
              0.007       0.2216242075       0.3261963612
              0.008       0.2194837934       0.3269563116
              0.009       0.2170381029       0.3276803481
               0.01       0.2142878826       0.3283690037
