@ NAME             %07s "MYTABLE"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "21/08/19"
@ TIME             %08s "11.06.49"
*                DP0                 QX                 QY 
$                %le                %le                %le 
              -0.01       0.3067670609        0.313535025
             -0.009       0.3000209392       0.3104675648
             -0.008       0.2929392684        0.307489511
             -0.007       0.2855204635       0.3046015495
             -0.006       0.2777627492       0.3018044023
             -0.005       0.2696641559        0.299098828
             -0.004       0.2612225142       0.2964856237
             -0.003       0.2524354501       0.2939656257
             -0.002       0.2433003786       0.2915397113
             -0.001       0.2338144978       0.2892087998
                  0       0.2239747817       0.2869738544
              0.001       0.2137779725       0.2848358837
              0.002       0.2032205725       0.2827959436
              0.003       0.1922988352       0.2808551389
              0.004       0.1810087558       0.2790146258
              0.005       0.1693460603       0.2772756136
              0.006       0.1573061948       0.2756393675
              0.007       0.1448843131       0.2741072106
              0.008       0.1320752631        0.272680527
              0.009       0.1188735733       0.2713607647
               0.01       0.1052734367        0.270149438
