@ NAME             %07s "MYTABLE"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "22/08/19"
@ TIME             %08s "16.28.23"
*                DP0                 QX                 QY 
$                %le                %le                %le 
             -0.004       0.2297392494       0.2736872324
             -0.003       0.2327720516       0.2739869354
             -0.002       0.2351549718       0.2741780892
             -0.001       0.2368938054       0.2742621716
                  0       0.2379937758       0.2742405811
              0.001       0.2384595493         0.27411464
              0.002       0.2382952484       0.2738855971
              0.003       0.2375044623       0.2735546308
              0.004       0.2360902572       0.2731228511
              0.005       0.2340551832        0.272591302
              0.006       0.2314012803       0.2719609637
              0.007       0.2281300832       0.2712327544
              0.008       0.2242426233       0.2704075318
