@ NAME             %07s "MYTABLE"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "19/07/19"
@ TIME             %08s "12.51.21"
*                DP0                 QX                 QY 
$                %le                %le                %le 
             -0.006       0.2077855903       0.2624446042
             -0.005       0.2078530519       0.2595065999
             -0.004       0.2080423506       0.2565810555
             -0.003       0.2083526266       0.2536678159
             -0.002       0.2087830049       0.2507667277
             -0.001       0.2093325961       0.2478776388
                  0       0.2100004965       0.2450003991
              0.001       0.2107857889       0.2421348596
              0.002       0.2116875427       0.2392808732
              0.003       0.2127048147       0.2364382945
              0.004       0.2138366496       0.2336069795
              0.005       0.2150820803        0.230786786
              0.006       0.2164401286       0.2279775736
              0.007       0.2179098054       0.2251792033
