@ NAME             %07s "MYTABLE"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "22/07/19"
@ TIME             %08s "12.33.25"
*                DP0                 QX                 QY 
$                %le                %le                %le 
              -0.01       0.1957744582       0.2556965403
             -0.009       0.1983487176       0.2599798883
             -0.008       0.2008262852       0.2638490481
             -0.007        0.203207511       0.2673065613
             -0.006        0.205492793       0.2703548545
             -0.005       0.2076825765       0.2729962416
             -0.004       0.2097773523       0.2752329259
             -0.003       0.2117776561       0.2770670022
             -0.002       0.2136840669        0.278500459
             -0.001       0.2154972068       0.2795351807
                  0       0.2172177391       0.2801729488
              0.001       0.2188463683       0.2804154444
              0.002       0.2203838386       0.2802642495
              0.003       0.2218309337       0.2797208489
              0.004       0.2231884757       0.2787866314
              0.005       0.2244573246       0.2774628918
              0.006       0.2256383777       0.2757508316
              0.007       0.2267325689       0.2736515611
              0.008       0.2277408683       0.2711661002
              0.009        0.228664282       0.2682953797
               0.01       0.2295038508       0.2650402426
