@ NAME             %07s "MYTABLE"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "13/08/19"
@ TIME             %08s "18.17.26"
*                DP0                 QX                 QY 
$                %le                %le                %le 
              -0.01       0.1924151479        0.293275768
             -0.009       0.1993833791       0.2924815119
             -0.008        0.206012176       0.2919790381
             -0.007         0.21230685       0.2917665036
             -0.006       0.2182724613       0.2918421532
             -0.005       0.2239138295       0.2922043164
             -0.004       0.2292355437       0.2928514044
             -0.003       0.2342419715       0.2937819078
             -0.002       0.2389372681       0.2949943941
             -0.001       0.2433253843       0.2964875052
                  0        0.247410074       0.2982599561
              0.001       0.2511949014        0.300310532
              0.002       0.2546832473       0.3026380877
              0.003       0.2578783156       0.3052415453
              0.004       0.2607831389       0.3081198931
              0.005       0.2634005835       0.3112721843
              0.006       0.2657333548       0.3146975357
              0.007       0.2677840015        0.318395127
              0.008       0.2695549202          0.3223642
              0.009       0.2710483589       0.3266040571
               0.01       0.2722664211       0.3311140616
