@ NAME             %07s "MYTABLE"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "16/07/19"
@ TIME             %08s "15.43.32"
*                DP0                 QX                 QY 
$                %le                %le                %le 
              -0.01       0.1206642913       0.3929325149
             -0.009       0.1215054204       0.3942639239
             -0.008        0.122388629       0.3955462615
             -0.007       0.1233136205       0.3967795686
             -0.006       0.1242800971       0.3979638886
             -0.005        0.125287759       0.3990992677
             -0.004       0.1263363055       0.4001857545
             -0.003       0.1274254341       0.4012234002
             -0.002       0.1285548412       0.4022122583
             -0.001       0.1297242219       0.4031523852
                  0       0.1309332701       0.4040438393
              0.001       0.1321816786       0.4048866816
              0.002       0.1334691393       0.4056809756
              0.003       0.1347953427        0.406426787
              0.004       0.1361599788       0.4071241837
              0.005       0.1375627365       0.4077732362
              0.006       0.1390033039        0.408374017
              0.007       0.1404813683       0.4089266009
              0.008       0.1419966166       0.4094310648
              0.009       0.1435487347       0.4098874881
               0.01       0.1451374081       0.4102959518
